pair_id,source,title,old_file,new_file,old_length,new_length,chunk_count_old,chunk_count_new,change_count_total,change_count_added,change_count_removed,change_count_modified,change_count_moved,significant_count,critical_count,important_count,informational_count,editorial_count,quiz_question_count,summary_highlight_count,warnings,status
ruslawod_pair_0002,ruslawod_weak_regression,(О положении в стране и основных направлениях внутренней и внешней политики государства),regression/ruslawod_pairs/pair_0002/old.txt,regression/ruslawod_pairs/pair_0002/new.txt,44127,46384,1,1,1,0,0,1,0,1,1,0,0,0,1,1,,ok
ruslawod_pair_0003,ruslawod_weak_regression,(О положении в стране и основных направлениях внутренней и внешней политики государства),regression/ruslawod_pairs/pair_0003/old.txt,regression/ruslawod_pairs/pair_0003/new.txt,46384,41313,1,1,1,0,0,1,0,1,1,0,0,0,1,1,,ok
ruslawod_pair_0004,ruslawod_weak_regression,(О положении в стране и основных направлениях внутренней и внешней политики государства),regression/ruslawod_pairs/pair_0004/old.txt,regression/ruslawod_pairs/pair_0004/new.txt,41313,75273,1,1,1,0,0,1,0,1,1,0,0,0,1,1,,ok
ruslawod_pair_0005,ruslawod_weak_regression,(О положении в стране и основных направлениях внутренней и внешней политики государства),regression/ruslawod_pairs/pair_0005/old.txt,regression/ruslawod_pairs/pair_0005/new.txt,75273,67995,1,1,1,0,0,1,0,1,1,0,0,0,1,1,,ok
ruslawod_pair_0006,ruslawod_weak_regression,(О положении в стране и основных направлениях внутренней и внешней политики государства),regression/ruslawod_pairs/pair_0006/old.txt,regression/ruslawod_pairs/pair_0006/new.txt,67995,57966,1,1,1,0,0,1,0,1,1,0,0,0,1,1,,ok
ruslawod_pair_0007,ruslawod_weak_regression,(О положении в стране и основных направлениях внутренней и внешней политики государства),regression/ruslawod_pairs/pair_0007/old.txt,regression/ruslawod_pairs/pair_0007/new.txt,57966,52928,1,1,1,0,0,1,0,1,1,0,0,0,1,1,,ok
ruslawod_pair_0008,ruslawod_weak_regression,О внесении изменений в некоторые акты Правительства Российской Федерации,regression/ruslawod_pairs/pair_0008/old.txt,regression/ruslawod_pairs/pair_0008/new.txt,2676,5370,1,1,1,0,0,1,0,1,1,0,0,0,1,1,,ok
ruslawod_pair_0009,ruslawod_weak_regression,О внесении изменений в некоторые акты Правительства Российской Федерации,regression/ruslawod_pairs/pair_0009/old.txt,regression/ruslawod_pairs/pair_0009/new.txt,1742,48459,1,1,1,0,0,1,0,1,1,0,0,0,1,1,,ok
ruslawod_pair_0010,ruslawod_weak_regression,О внесении изменений в некоторые акты Правительства Российской Федерации,regression/ruslawod_pairs/pair_0010/old.txt,regression/ruslawod_pairs/pair_0010/new.txt,33945,30372,1,1,1,0,0,1,0,1,1,0,0,0,1,1,,ok
ruslawod_pair_0011,ruslawod_weak_regression,О внесении изменений в некоторые акты Правительства Российской Федерации,regression/ruslawod_pairs/pair_0011/old.txt,regression/ruslawod_pairs/pair_0011/new.txt,11256,7969,1,1,1,0,0,1,0,1,1,0,0,0,1,1,,ok
ruslawod_pair_0012,ruslawod_weak_regression,О внесении изменений в некоторые акты Правительства Российской Федерации,regression/ruslawod_pairs/pair_0012/old.txt,regression/ruslawod_pairs/pair_0012/new.txt,1653,20856,1,1,1,0,0,1,0,1,1,0,0,0,1,1,,ok
ruslawod_pair_0013,ruslawod_weak_regression,О внесении изменений в некоторые акты Правительства Российской Федерации,regression/ruslawod_pairs/pair_0013/old.txt,regression/ruslawod_pairs/pair_0013/new.txt,32132,3208,1,1,1,0,0,1,0,1,1,0,0,0,1,1,,ok
